T_K,J_exp,J_calc,J_sink,J_trap1,J_trap2,J_trap3,J_trap4,J_trap5
9.608099365234379547e+02,3.615934661976792960e+17,3.056332115049395200e+17,2.943491871931950720e+17,1.311076367835166406e+14,1.058725109178314750e+15,1.925819324427398800e+16,9.179971103396451200e+16,1.950840374650268480e+17
9.608099365234379547e+02,3.638193781163820800e+17,3.056332115049395200e+17,2.943491871931950720e+17,1.311076367835166406e+14,1.058725109178314750e+15,1.925819324427398800e+16,9.179971103396451200e+16,1.950840374650268480e+17
9.617600097656250000e+02,3.637267812328535040e+17,3.045866861804448640e+17,2.948665019294097920e+17,1.286148785971246719e+14,1.037411813571582625e+15,1.884799411272812400e+16,8.985785531913558400e+16,1.964079381509699200e+17
9.617600097656250000e+02,3.642636183410378240e+17,3.045866861804448640e+17,2.948665019294097920e+17,1.286148785971246719e+14,1.037411813571582625e+15,1.884799411272812400e+16,8.985785531913558400e+16,1.964079381509699200e+17
9.622299804687500000e+02,3.627815208608414720e+17,3.040814819045820160e+17,2.951249820763217920e+17,1.274045615206755625e+14,1.027064957377874625e+15,1.864889535256361600e+16,8.891369324764670400e+16,1.970549293307856320e+17
9.631800537109379547e+02,3.634143151521582080e+17,3.030936577780915200e+17,2.956535023906115200e+17,1.250197290725269219e+14,1.006680155945683750e+15,1.825673155017090400e+16,8.704967546667748800e+16,1.983409313091646400e+17
9.634200439453129547e+02,3.623555471624887040e+17,3.028471949655210880e+17,2.957875132107823360e+17,1.244230168704702344e+14,1.001579866953902625e+15,1.815861970463393600e+16,8.658293685319276800e+16,1.986637374852910720e+17
9.638900146484379547e+02,3.602378199514871680e+17,3.023807443688078720e+17,2.960523579313124480e+17,1.232848470415383906e+14,9.918524526289758750e+14,1.797153551158322400e+16,8.569086268265732800e+16,1.992848924752616320e+17
9.643699951171879547e+02,3.581333753178316800e+17,3.019043589801647360e+17,2.963228435004357120e+17,1.221224356733929375e+14,9.819178570119337500e+14,1.778046666818701800e+16,8.477978849082737600e+16,1.999192772598237120e+17
9.653199462890629547e+02,3.592086543444389120e+17,3.009976320009389440e+17,2.968623943762328320e+17,1.198905815947383594e+14,9.628440757070950000e+14,1.741369675885229000e+16,8.302634122699160000e+16,2.011493746173961280e+17
9.655599365234379547e+02,3.584537814072856320e+17,3.007751640045932160e+17,2.969992518669287040e+17,1.193395043214288906e+14,9.581344346835273750e+14,1.732314546039524400e+16,8.259260175002224000e+16,2.014553057491837760e+17
9.655599365234379547e+02,3.578592299805157120e+17,3.007751640045932160e+17,2.969992518669287040e+17,1.193395043214288906e+14,9.581344346835273750e+14,1.732314546039524400e+16,8.259260175002224000e+16,2.014553057491837760e+17
9.662700195312500000e+02,3.592301101068280960e+17,3.001240272126918400e+17,2.974047702146814720e+17,1.177227125576999844e+14,9.443168808496067500e+14,1.705748960903978200e+16,8.131919732995177600e+16,2.023552912011001600e+17
9.667500000000000000e+02,3.603215864758872320e+17,2.996967400621881600e+17,2.976794565465248640e+17,1.166551277653591406e+14,9.351924943945717500e+14,1.688207996269792000e+16,8.047676490537592000e+16,2.029538257814250560e+17
9.675891864483170366e+02,3.598050563663304320e+17,2.989636008651868160e+17,2.981600570841994240e+17,1.148162342113237344e+14,9.194751420891566250e+14,1.657993983753615800e+16,7.902392303899462400e+16,2.039894296421714880e+17
9.676999511718750000e+02,3.559452468865141760e+17,2.988696424662703360e+17,2.982235033856300800e+17,1.145791497497154531e+14,9.174485346609510000e+14,1.654098404776052400e+16,7.883624783639963200e+16,2.041238796700360640e+17
9.680815429687500000e+02,3.546902888785187840e+17,2.985459495690883840e+17,2.984420800893882880e+17,1.137623781024779375e+14,9.104667380631876250e+14,1.640677877606687600e+16,7.818969435360574400e+16,2.045870689064167360e+17
9.688900146484379547e+02,3.534838865502482560e+17,2.978762330386598400e+17,2.989045244866227840e+17,1.120648077007163125e+14,8.959541412387362500e+14,1.612782290399739000e+16,7.684375544770310400e+16,2.055549919406058880e+17
9.691300048828129547e+02,3.529790058628274560e+17,2.976803004938750080e+17,2.990416825279844480e+17,1.115667630959332031e+14,8.916960295154633750e+14,1.604597642690623200e+16,7.644848425822646400e+16,2.058399194886852160e+17
9.695999755859379547e+02,3.517385532408341120e+17,2.973031014548090880e+17,2.993096978789423360e+17,1.106050258405367500e+14,8.834725944491828750e+14,1.588791197471883400e+16,7.568430194228387200e+16,2.063922009581359360e+17
9.700799560546879547e+02,3.507062063390961920e+17,2.969257344559569920e+17,2.995827190694065280e+17,1.096392527238168906e+14,8.752135335771332500e+14,1.572916364322257800e+16,7.491580327795643200e+16,2.069493536703958720e+17
9.705500488281250000e+02,3.522813493478142720e+17,2.965608588072115200e+17,2.998494400573370240e+17,1.087034761637795469e+14,8.672101667730251250e+14,1.557532880846137800e+16,7.417048931649460800e+16,2.074906785038232000e+17
9.708092382812500318e+02,3.549069052568200320e+17,2.963644882850516480e+17,2.999958101543368960e+17,1.081978204193349688e+14,8.628846174698725000e+14,1.549218501469093600e+16,7.376704680258616000e+16,2.077847097384837440e+17
9.719799804687500000e+02,3.556193805446542720e+17,2.954935453624510080e+17,3.006536941647236480e+17,1.059490730129365938e+14,8.436446539826880000e+14,1.512235270166232600e+16,7.197042637923346400e+16,2.090972030815873920e+17
9.719799804687500000e+02,3.512048125516327680e+17,2.954935453624510080e+17,3.006536941647236480e+17,1.059490730129365938e+14,8.436446539826880000e+14,1.512235270166232600e+16,7.197042637923346400e+16,2.090972030815873920e+17
9.724599609375000000e+02,3.482126543983703040e+17,2.951447476245319040e+17,3.009216059585024000e+17,1.050454262799607344e+14,8.359113278001405000e+14,1.497369594363794800e+16,7.124718546177984800e+16,2.096271356581899520e+17
9.729300537109379547e+02,3.465853109499987840e+17,2.948132071490673280e+17,3.011812803099297920e+17,1.041831591679302500e+14,8.285295688853051250e+14,1.483178693396489200e+16,7.055545491930457600e+16,2.101357634545206720e+17
9.734100341796879547e+02,3.469980586705603200e+17,2.944752901137439360e+17,3.014462107117633280e+17,1.033041469383972969e+14,8.210042815130283750e+14,1.468711784195348200e+16,6.985019146223813600e+16,2.106544349447169920e+17
9.741199951171879547e+02,3.471562676420487680e+17,2.939914970004167040e+17,3.018325523378684800e+17,1.020413386593369219e+14,8.101885624169617500e+14,1.447916929817830600e+16,6.883431466225000000e+16,2.114040419405120320e+17
9.748399658203129547e+02,3.471666774760949760e+17,2.935110242889875200e+17,3.022199866270127360e+17,1.007851803756476719e+14,7.994263630821105000e+14,1.427223109143819400e+16,6.782200605041846400e+16,2.121523471441952000e+17
9.752087451171879593e+02,3.481051269738679680e+17,2.932679447334730240e+17,3.024171369913761920e+17,1.001490534886190781e+14,7.939752688851775000e+14,1.416741044240702400e+16,6.730882445474104800e+16,2.125320984974809920e+17
9.757900390625000000e+02,3.466706790445876480e+17,2.928932006777857280e+17,3.027234766775491840e+17,9.916740829403743750e+13,7.855601062156723750e+14,1.400557373800329600e+16,6.651534283502954400e+16,2.131201285264374080e+17
9.760300292968750000e+02,3.461427573337744640e+17,2.927399970534346240e+17,3.028491563445780480e+17,9.876591398181062500e+13,7.821176951255413750e+14,1.393936729340928400e+16,6.619052134362704800e+16,2.133610030553760960e+17
9.762700195312500000e+02,3.435865788976706560e+17,2.925867934290835200e+17,3.029748360116069760e+17,9.836441966958381250e+13,7.786752840354102500e+14,1.387316084881527200e+16,6.586569985222455200e+16,2.136018775843148160e+17
9.769799804687500000e+02,3.410739916362311040e+17,2.921450420265144960e+17,3.033393420905878400e+17,9.720659824045662500e+13,7.687430880350993750e+14,1.368210774919237200e+16,6.492673201155851200e+16,2.142989471714629120e+17
9.773122746394229807e+02,3.399422656027845760e+17,2.919393194441217280e+17,3.035092882261503360e+17,9.666739036106439062e+13,7.641171073736828750e+14,1.359312069958109000e+16,6.448923711078276800e+16,2.146238051629526720e+17
9.779399414062500000e+02,3.391804940490558080e+17,2.915606126817149440e+17,3.038227587358506240e+17,9.567586257423014062e+13,7.556056662273750000e+14,1.342935965544440200e+16,6.368267990637515200e+16,2.152229546451289280e+17
9.782715782752410405e+02,3.405789545886974080e+17,2.913612014421765120e+17,3.039878635463160320e+17,9.515384191450321875e+13,7.511242039729535000e+14,1.334313357478090400e+16,6.325789589811002400e+16,2.155385221925446720e+17
9.788900146484379547e+02,3.415989932929564160e+17,2.909975985275495680e+17,3.042882214374346880e+17,9.420410592244306250e+13,7.429662387457377500e+14,1.318613829416996000e+16,6.248322211849168800e+16,2.161138075683726400e+17
9.795999755859379547e+02,3.428670483180695040e+17,2.905855229115469440e+17,3.046276004832745600e+17,9.312969286026504688e+13,7.337340830038095000e+14,1.300844878639486200e+16,6.160559941403490400e+16,2.167652092683616000e+17
9.795999755859379547e+02,3.396366306092086400e+17,2.905855229115469440e+17,3.046276004832745600e+17,9.312969286026504688e+13,7.337340830038095000e+14,1.300844878639486200e+16,6.160559941403490400e+16,2.167652092683616000e+17
