T_K,J_exp,J_calc,J_sink,J_trap1,J_trap2,J_trap3,J_trap4,J_trap5
6.996699829101560226e+02,2.194167380393100083e+19,2.070980935224539546e+19,1.643815656978331034e+19,1.723213967194778368e+18,9.165101163004324864e+18,9.659369995528017920e+18,1.377252155343276480e+17,5.418423865685975625e+14
7.027399902343750000e+02,2.229227829353751347e+19,2.103740418196861338e+19,1.665706797796063437e+19,1.623987016985328128e+18,9.027129141638022144e+18,1.021435984812294144e+19,1.500871617047802560e+17,6.044300313993747500e+14
7.057461547851570458e+02,2.265102382883708518e+19,2.136134513059876045e+19,1.687869433920893747e+19,1.532418634062330624e+18,8.874849195451900928e+18,1.077151671694437581e+19,1.631296093026545280e+17,6.720498242803308750e+14
7.081799926757810226e+02,2.301904966597494784e+19,2.162587618222317568e+19,1.706333566438987776e+19,1.462140240015933952e+18,8.740219366246176768e+18,1.123156263555204915e+19,1.744084737226839360e+17,7.317726315281980000e+14
7.117199707031250000e+02,2.349574229756190720e+19,2.201421644951032627e+19,1.734001670071238246e+19,1.365810895010570752e+18,8.528151750742091776e+18,1.191330403207570022e+19,1.920448385105176320e+17,8.273720422349447500e+14
7.147296353853670325e+02,2.390666686266008371e+19,2.234762102367389696e+19,1.758241659015470694e+19,1.289103124020659968e+18,8.334679363126658048e+18,1.250283159253328486e+19,2.082548872622375680e+17,9.174855559087488750e+14
7.174623178335340299e+02,2.430433783019101389e+19,2.265278656841680077e+19,1.780776675953556890e+19,1.223334861099694336e+18,8.150190811789961216e+18,1.304439836686982963e+19,2.239939812593167680e+17,1.006908155517033250e+15
7.204499511718750000e+02,2.464126176495203942e+19,2.298896862546635162e+19,1.805949512058660250e+19,1.155537476845906432e+18,7.940316850302192640e+18,1.364181699176402330e+19,2.424094732984365760e+17,1.113876126821867875e+15
7.234246356670670366e+02,2.497250813593513574e+19,2.332605047043298099e+19,1.831503923211639398e+19,1.092039046627218560e+18,7.724628452801906688e+18,1.424032248468923392e+19,2.620644786309891200e+17,1.230658034607410750e+15
7.269415189302890212e+02,2.520382544133025792e+19,2.372714654253423411e+19,1.862263007945583821e+19,1.021899914889495168e+18,7.463141760260569088e+18,1.495009585105748992e+19,2.871447605571406080e+17,1.383427166030673500e+15
7.296068115234379547e+02,2.542504434455871078e+19,2.403249275263957811e+19,1.885890666794339123e+19,9.720163617982661120e+17,7.261866740847053824e+18,1.548775479437199565e+19,3.075321827700316800e+17,1.510460346399217500e+15
7.322299804687500000e+02,2.561042341518886912e+19,2.433375966501488640e+19,1.909360775622546227e+19,9.255966677430844160e+17,7.062193259346457600e+18,1.601523313687927808e+19,3.288667401928513280e+17,1.646051345590370750e+15
7.353320068359380457e+02,2.588108550189051494e+19,2.469031508033557299e+19,1.937315280532554547e+19,8.739126212088140800e+17,6.825316018693563392e+18,1.663504496430583603e+19,3.558072119411273600e+17,1.820919515970625750e+15
